PARID,BOROCODE,BLOCK,LOT,STREET NUMBER,STREET NAME,Postcode,BLDG_CLASS,Borough,Latitude,Longitude,Census Tract,BIN,BBL,NTA Name,NTA Code2
1000080039,1,8,39,32,PEARL STREET,10004,H3,MANHATTAN,40.703235,-74.012421,9,1078968,1000080039,Battery Park City-Lower Manhattan,
1000080051,1,8,51,6,WATER STREET,10004,H2,MANHATTAN,40.702744,-74.012201,9,1090472,1000080051,Battery Park City-Lower Manhattan,
1000100033,1,10,33,8,STONE STREET,10004,H2,MANHATTAN,40.704025,-74.012638,9,1087618,1000100033,Battery Park City-Lower Manhattan,
1000110029,1,11,29,11,STONE STREET,10004,H2,MANHATTAN,40.704039,-74.012317,9,1000041,1000110029,Battery Park City-Lower Manhattan,
1000161301,1,16,1301,102,NORTH END AVENUE,10282,RH,MANHATTAN,40.714812,-74.016153,31703,1085867,1000167512,Battery Park City-Lower Manhattan,
1000169002,1,16,9002,2,WEST STREET,10004,RH,MANHATTAN,40.705523,-74.01711,31704,1085789,1000167513,Battery Park City-Lower Manhattan,
1000190024,1,19,24,50,TRINITY PLACE,10006,HB,MANHATTAN,40.707632,-74.013068,13,1000801,1000190024,Battery Park City-Lower Manhattan,
1000290043,1,29,43,9,SOUTH WILLIAM STREET,10004,HB,MANHATTAN,40.704703,-74.010398,9,1000842,1000290043,Battery Park City-Lower Manhattan,
1000311002,1,31,1002,75,WALL STREET,10005,RH,MANHATTAN,40.705486,-74.007874,7,1085950,1000317501,Battery Park City-Lower Manhattan,
1000370008,1,37,8,110,WALL STREET,10005,H9,MANHATTAN,40.704638,-74.006694,7,1000872,1000370008,Battery Park City-Lower Manhattan,
1000370013,1,37,13,129,FRONT STREET,10005,H3,MANHATTAN,40.705187,-74.006369,7,1000873,1000370013,Battery Park City-Lower Manhattan,
1000390038,1,39,38,126,WATER STREET,10005,H3,MANHATTAN,40.705431,-74.007055,7,1000881,1000390038,Battery Park City-Lower Manhattan,
1000390041,1,39,41,120,WATER STREET,10005,HB,MANHATTAN,40.705299,-74.007242,7,1000000,1000390041,Battery Park City-Lower Manhattan,
1000400016,1,40,16,52,WILLIAM STREET,10005,H3,MANHATTAN,40.706773,-74.009143,7,1001006,1000400016,Battery Park City-Lower Manhattan,
1000410015,1,41,15,60,PINE STREET,10005,H5,MANHATTAN,40.706523,-74.00826,7,1001008,1000410015,Battery Park City-Lower Manhattan,
1000411302,1,41,1302,66,PINE STREET,10005,RH,MANHATTAN,40.7064,-74.008043,7,1001007,1000417504,Battery Park City-Lower Manhattan,
1000411303,1,41,1303,66,PINE STREET,10005,RH,MANHATTAN,40.7064,-74.008043,7,1001007,1000417504,Battery Park City-Lower Manhattan,
1000520008,1,52,8,133,GREENWICH STREET,10006,H2,MANHATTAN,40.709468,-74.012931,13,1089248,1000520008,Battery Park City-Lower Manhattan,
