ID,n_adults,n_children,meal_plan,car_parking_space,room_type,lead_time,year,month,date,avg_room_price
INN00001,2,0,Meal Plan 1,0,Room_Type 1,224,2017,10,2,65
INN00002,2,0,Not Selected,0,Room_Type 1,5,2018,11,6,106.68
INN00003,1,0,Meal Plan 1,0,Room_Type 1,1,2018,2,28,60
INN00004,2,0,Meal Plan 1,0,Room_Type 1,211,2018,5,20,100
INN00005,2,0,Not Selected,0,Room_Type 1,48,2018,4,11,94.5
INN00006,2,0,Meal Plan 2,0,Room_Type 1,346,2018,9,13,115
INN00007,2,0,Meal Plan 1,0,Room_Type 1,34,2017,10,15,107.55
INN00008,2,0,Meal Plan 1,0,Room_Type 4,83,2018,12,26,105.61
INN00009,3,0,Meal Plan 1,0,Room_Type 1,121,2018,7,6,96.9
INN00010,2,0,Meal Plan 1,0,Room_Type 4,44,2018,10,18,133.44
INN00011,1,0,Not Selected,0,Room_Type 1,0,2018,9,11,85.03
INN00012,1,0,Meal Plan 1,0,Room_Type 4,35,2018,4,30,140.4
INN00013,2,0,Not Selected,0,Room_Type 1,30,2018,11,26,88
INN00014,1,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,90
INN00015,2,0,Meal Plan 1,0,Room_Type 1,47,2017,10,20,94.5
INN00016,2,0,Meal Plan 2,0,Room_Type 1,256,2018,6,15,115
INN00017,1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,96
INN00018,2,0,Not Selected,0,Room_Type 1,1,2017,8,10,96
INN00019,2,0,Meal Plan 1,0,Room_Type 1,99,2017,10,30,65
INN00020,2,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,72
INN00021,2,0,Meal Plan 1,0,Room_Type 1,99,2017,10,30,65
INN00022,1,0,Meal Plan 1,0,Room_Type 1,122,2018,11,25,67
INN00023,2,0,Meal Plan 1,0,Room_Type 1,2,2018,3,20,85
INN00024,2,0,Meal Plan 1,0,Room_Type 1,37,2018,10,13,105
INN00025,2,0,Not Selected,0,Room_Type 1,130,2018,5,22,94.5
INN00026,2,0,Meal Plan 1,0,Room_Type 1,99,2018,4,28,114.3
INN00027,2,0,Meal Plan 1,0,Room_Type 1,60,2017,9,21,65
INN00028,1,0,Meal Plan 1,0,Room_Type 4,2,2018,5,19,110
INN00029,1,0,Meal Plan 1,0,Room_Type 1,37,2017,11,6,37.33
INN00030,2,0,Meal Plan 2,0,Room_Type 1,56,2017,9,17,82
INN00031,2,0,Meal Plan 1,0,Room_Type 4,3,2017,9,19,177.5
INN00032,2,0,Meal Plan 1,0,Room_Type 1,107,2018,11,13,87.5
INN00033,0,2,Meal Plan 1,0,Room_Type 2,56,2018,12,7,82.44
INN00034,2,0,Not Selected,0,Room_Type 1,2,2018,1,9,69.5
INN00035,2,0,Meal Plan 1,0,Room_Type 1,72,2018,10,7,85.5
INN00036,2,0,Not Selected,1,Room_Type 1,23,2018,4,27,115
INN00037,1,0,Meal Plan 1,0,Room_Type 1,34,2018,6,19,81
INN00038,2,0,Meal Plan 1,0,Room_Type 1,289,2017,10,17,67
INN00039,2,0,Not Selected,0,Room_Type 1,247,2018,11,19,63.75
INN00040,2,0,Meal Plan 1,0,Room_Type 4,186,2018,7,30,121.8
INN00041,2,0,Meal Plan 1,0,Room_Type 1,64,2018,11,1,93.6
INN00042,2,0,Meal Plan 1,0,Room_Type 1,35,2018,6,21,102
INN00043,3,0,Meal Plan 1,0,Room_Type 1,96,2018,4,10,121.8
INN00044,2,0,Not Selected,0,Room_Type 1,41,2018,6,27,98.1
INN00045,2,0,Meal Plan 1,0,Room_Type 4,55,2017,11,18,60
INN00046,2,0,Meal Plan 1,0,Room_Type 1,146,2017,12,29,75
INN00047,1,0,Meal Plan 1,0,Room_Type 1,32,2017,11,20,73
