ID,n_adults,n_children,weekend_nights,week_nights,meal_plan,car_parking_space,room_type,previous_cancellations,previous_bookings_not_canceled,avg_room_price,special_requests,status
0,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,65,0,Not_Canceled
1,2,0,2,3,Not Selected,0,Room_Type 1,0,0,106.68,1,Not_Canceled
2,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,60,0,Canceled
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,100,0,Canceled
4,2,0,1,1,Not Selected,0,Room_Type 1,0,0,94.5,0,Canceled
5,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,115,1,Canceled
6,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,0,107.55,1,Not_Canceled
7,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,0,105.61,1,Not_Canceled
8,3,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,96.9,1,Not_Canceled
9,2,0,0,5,Meal Plan 1,0,Room_Type 4,0,0,133.44,3,Not_Canceled
10,1,0,1,0,Not Selected,0,Room_Type 1,0,0,85.03,0,Not_Canceled
11,1,0,2,1,Meal Plan 1,0,Room_Type 4,0,0,140.4,1,Not_Canceled
12,2,0,2,1,Not Selected,0,Room_Type 1,0,0,88,0,Canceled
13,1,0,2,0,Meal Plan 1,0,Room_Type 1,0,0,90,2,Canceled
14,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,94.5,2,Not_Canceled
15,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,115,1,Canceled
16,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,96,0,Not_Canceled
17,2,0,1,3,Not Selected,0,Room_Type 1,0,0,96,1,Not_Canceled
18,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,65,0,Canceled
19,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,0,72,0,Not_Canceled
20,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,65,0,Canceled
21,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,67,0,Not_Canceled
22,2,0,2,4,Meal Plan 1,0,Room_Type 1,0,0,85,0,Not_Canceled
23,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,105,0,Not_Canceled
24,2,0,2,1,Not Selected,0,Room_Type 1,0,0,94.5,1,Not_Canceled
25,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,114.3,1,Not_Canceled
26,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,0,65,0,Not_Canceled
27,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,0,110,0,Canceled
28,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,0,37.33,0,Canceled
29,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,0,82,0,Not_Canceled
30,2,0,1,1,Meal Plan 1,0,Room_Type 4,0,0,177.5,1,Not_Canceled
31,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,0,87.5,1,Not_Canceled
32,0,2,0,3,Meal Plan 1,0,Room_Type 2,0,0,82.44,1,Not_Canceled
33,2,0,0,1,Not Selected,0,Room_Type 1,0,0,69.5,1,Not_Canceled
34,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,85.5,0,Not_Canceled
35,2,0,0,1,Not Selected,1,Room_Type 1,0,0,115,1,Not_Canceled
36,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,81,0,Canceled
37,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,0,67,0,Not_Canceled
38,2,0,2,3,Not Selected,0,Room_Type 1,0,0,63.75,0,Canceled
39,2,0,2,1,Meal Plan 1,0,Room_Type 4,0,0,121.8,1,Canceled
40,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,0,93.6,2,Not_Canceled
41,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,102,1,Not_Canceled
42,3,0,2,1,Meal Plan 1,0,Room_Type 1,0,0,121.8,1,Not_Canceled
43,2,0,1,1,Not Selected,0,Room_Type 1,0,0,98.1,1,Canceled
44,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,0,60,1,Not_Canceled
45,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,0,75,0,Not_Canceled
46,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,0,73,0,Not_Canceled
